id,reference,color,country,region,appellation,vintage,grapes,alcohol_percent,bottle_size_l,sweetness,tannin,acidity,rating,price_eur,producer,stock_quantity
16,WINE-00016,sparkling,Italy,Piedmont,DOC,2010,Sangiovese,12.6,0.375,dry,medium,medium,86,28.08,Carter and Sons,619
17,WINE-00017,rosé,Spain,Priorat,DOCG,1998,Syrah,12.0,0.375,semi-sweet,low,medium,97,118.32,Alvarado PLC,624
18,WINE-00018,rosé,France,Beaujolais,AOC,2020,Sauvignon Blanc,14.2,0.375,sweet,low,medium,98,43.91,Preston PLC,739
19,WINE-00019,sparkling,USA,Sonoma,AOC,1999,Pinot Noir,11.1,1.5,sweet,high,low,97,100.22,Williams and Sons,485
20,WINE-00020,white,Spain,Ribera del Duero,AOC,2011,Merlot,14.4,0.375,sweet,low,low,78,34.71,Alexander-Webster,299
21,WINE-00021,rosé,Georgia,Kakheti,DOCG,2024,"Pinot Noir, Cabernet Sauvignon",14.3,0.75,sweet,high,low,95,23.31,Miller PLC,522
22,WINE-00022,white,France,Beaujolais,AVA,2000,Pinot Noir,11.6,1.5,dry,high,low,88,83.79,"Luna, Lopez and Davis",543
23,WINE-00023,red,Georgia,Kakheti,AVA,2001,Syrah,12.2,0.375,sweet,high,low,80,56.53,Glass-Downs,627
24,WINE-00024,rosé,Georgia,Kakheti,IGP,2017,"Sangiovese, Syrah",13.4,0.75,off-dry,medium,low,91,19.86,Hamilton-Everett,452
25,WINE-00025,white,Spain,Rioja,IGP,2016,Syrah,12.4,0.375,off-dry,high,high,99,47.74,Werner-Wright,259
26,WINE-00026,white,Italy,Sicily,AOC,2016,"Riesling, Pinot Noir",14.7,0.375,sweet,high,medium,88,54.03,"Williams, Watts and Rodriguez",365
27,WINE-00027,rosé,Spain,Rioja,AOC,2009,"Sangiovese, Riesling",14.2,0.75,semi-sweet,high,high,87,64.4,"Hogan, Odonnell and Peterson",65
28,WINE-00028,red,France,Loire,AOC,2023,"Grenache, Cabernet Sauvignon",14.5,0.75,off-dry,medium,high,86,52.28,"Coleman, Jones and Caldwell",549
29,WINE-00029,rosé,Georgia,Kakheti,AOC,2008,"Cabernet Sauvignon, Pinot Noir",15.0,0.75,dry,high,low,86,15.55,"Davis, Hartman and Valencia",227
30,WINE-00030,red,France,Champagne,IGP,2012,Chardonnay,12.9,0.75,off-dry,low,high,85,112.95,Barajas-Smith,165
31,WINE-00031,white,Spain,Rioja,DOC,2019,"Grenache, Sangiovese",11.9,0.75,off-dry,medium,medium,78,119.37,"Ward, Alexander and Vance",37
32,WINE-00032,white,France,Bordeaux,AVA,1998,"Syrah, Riesling",14.0,1.5,sweet,high,medium,95,101.15,Soto Ltd,402
33,WINE-00033,white,Georgia,Kakheti,DOC,2007,"Syrah, Pinot Noir",15.5,0.375,off-dry,low,low,98,90.46,Jenkins Inc,261
34,WINE-00034,red,USA,Napa,AOC,2014,"Sangiovese, Grenache",12.1,0.75,dry,medium,low,83,36.67,"Carter, Howard and Kane",3
35,WINE-00035,rosé,Spain,Rias Baixas,AVA,2023,"Syrah, Cabernet Sauvignon",12.4,0.75,off-dry,low,medium,90,15.56,"Montgomery, French and Gallagher",285
36,WINE-00036,white,Georgia,Kakheti,AVA,2003,Merlot,14.7,0.375,sweet,high,low,90,8.56,Gray-Cook,311
37,WINE-00037,white,Italy,Tuscany,AVA,1999,"Chardonnay, Riesling",12.3,1.5,off-dry,low,high,94,77.52,Brown Group,751
38,WINE-00038,red,Georgia,Kakheti,AVA,1995,Merlot,11.2,1.5,semi-sweet,low,medium,92,69.67,Torres-Gordon,642
39,WINE-00039,white,France,Jura,IGP,2020,"Cabernet Sauvignon, Riesling",11.3,1.5,dry,high,high,80,91.01,Walker and Sons,485
40,WINE-00040,rosé,Spain,Rioja,DOC,2018,Syrah,13.9,0.75,sweet,medium,low,93,109.79,Daniel-Byrd,294
41,WINE-00041,white,France,Languedoc,AOC,2003,Chardonnay,13.9,1.5,semi-sweet,high,high,82,7.42,Johnson Inc,62
42,WINE-00042,red,USA,Sonoma,DOC,2004,"Grenache, Sangiovese",13.1,0.75,dry,high,low,87,117.51,Beck-Saunders,484
43,WINE-00043,sparkling,France,Champagne,AOC,2001,"Grenache, Sauvignon Blanc",15.1,0.375,dry,high,low,82,91.21,Nelson Ltd,268
44,WINE-00044,rosé,Spain,Ribera del Duero,AOC,2023,"Syrah, Riesling",14.9,0.75,dry,low,low,93,83.7,"Schwartz, Watson and Massey",415
45,WINE-00045,sparkling,Spain,Ribera del Duero,DOCG,2021,"Chardonnay, Merlot",12.5,0.75,semi-sweet,medium,low,84,87.28,Rivera-Hester,757
46,WINE-00046,rosé,Spain,Rias Baixas,AOC,2006,"Sauvignon Blanc, Merlot",15.2,0.75,dry,medium,low,79,101.15,"Smith, Smith and Vance",292
47,WINE-00047,rosé,Italy,Piedmont,IGP,2020,"Syrah, Chardonnay",15.3,0.375,sweet,high,high,84,88.03,Sullivan Ltd,50
48,WINE-00048,white,USA,Sonoma,DOCG,1999,"Cabernet Sauvignon, Sangiovese",11.8,0.75,semi-sweet,medium,medium,86,90.25,Carlson LLC,668
49,WINE-00049,white,Spain,Priorat,DOCG,1998,"Sangiovese, Sauvignon Blanc",11.8,0.375,dry,low,high,93,68.74,Johnson-Logan,463
50,WINE-00050,sparkling,Spain,Priorat,DOC,1997,Syrah,11.8,1.5,dry,medium,low,89,35.45,Anderson PLC,583
51,WINE-00051,sparkling,Italy,Tuscany,IGP,2007,"Sangiovese, Syrah",12.2,0.375,sweet,medium,high,89,20.35,Mckenzie-Mendoza,515
52,WINE-00052,red,Georgia,Kakheti,DOCG,2007,Sauvignon Blanc,13.9,0.75,semi-sweet,low,low,79,54.47,Baxter-Young,782
53,WINE-00053,sparkling,USA,Willamette Valley,AOC,2024,Sauvignon Blanc,15.2,1.5,sweet,medium,low,81,31.51,"Baker, May and Gonzalez",155
54,WINE-00054,sparkling,Georgia,Kakheti,AOC,2020,Cabernet Sauvignon,11.6,1.5,dry,high,high,87,115.72,Andrews-Gill,641
55,WINE-00055,red,Spain,Priorat,AOC,2011,Grenache,15.2,0.375,sweet,medium,low,97,6.13,Francis LLC,550
56,WINE-00056,rosé,Spain,Priorat,DOCG,2011,Riesling,12.1,0.375,dry,medium,high,98,41.04,"Ryan, Colon and Howard",22
57,WINE-00057,sparkling,Italy,Sicily,AOC,2024,"Syrah, Sauvignon Blanc",12.7,0.75,dry,high,medium,91,47.3,Leblanc-Reid,405
58,WINE-00058,rosé,Italy,Tuscany,AVA,2010,Syrah,15.4,0.75,off-dry,low,medium,85,36.21,Jenkins and Sons,302
59,WINE-00059,sparkling,France,Languedoc,AVA,2010,Syrah,12.9,1.5,dry,high,low,90,12.2,"Good, Burch and Harris",24
60,WINE-00060,sparkling,Georgia,Kakheti,AOC,2007,Pinot Noir,13.0,1.5,semi-sweet,high,low,80,112.2,Nelson-Munoz,337
61,WINE-00061,sparkling,Italy,Piedmont,AOC,2005,"Sauvignon Blanc, Chardonnay",13.0,0.375,dry,low,medium,80,46.07,"Davis, Larson and Weber",126
62,WINE-00062,sparkling,Georgia,Kakheti,DOCG,1996,"Sauvignon Blanc, Merlot",14.2,0.375,semi-sweet,high,medium,84,42.86,Rangel-Wilson,755
63,WINE-00063,sparkling,USA,Napa,DOC,1996,"Cabernet Sauvignon, Sauvignon Blanc",13.1,0.375,semi-sweet,low,high,80,108.43,Torres PLC,347
64,WINE-00064,rosé,Spain,Rias Baixas,AVA,2018,Grenache,14.2,0.75,semi-sweet,medium,low,97,110.48,Baker LLC,649
65,WINE-00065,white,France,Bordeaux,AOC,2020,"Riesling, Sauvignon Blanc",12.1,0.75,sweet,low,medium,83,6.99,Bush LLC,756
66,WINE-00066,white,Spain,Ribera del Duero,DOCG,2020,"Riesling, Chardonnay",14.5,0.375,off-dry,medium,low,85,52.48,Ortega Group,665
67,WINE-00067,rosé,France,Beaujolais,DOC,2003,"Merlot, Tempranillo",13.8,0.375,dry,medium,medium,92,25.74,Church-Ray,136
68,WINE-00068,white,USA,Sonoma,AVA,2004,Grenache,12.3,0.75,semi-sweet,medium,high,86,28.71,"Marquez, Poole and Cannon",253
69,WINE-00069,white,Italy,Piedmont,DOC,2005,"Tempranillo, Syrah",11.3,0.75,off-dry,high,high,85,80.06,Navarro Ltd,102
70,WINE-00070,red,USA,Napa,AOC,2024,"Syrah, Riesling",12.7,0.75,off-dry,low,low,84,74.46,"Crawford, Gomez and Harris",597
71,WINE-00071,rosé,Italy,Tuscany,AVA,2014,Riesling,12.2,1.5,dry,low,high,97,86.91,"Sanders, Rodriguez and Mcgee",358
72,WINE-00072,rosé,Italy,Tuscany,DOCG,2001,Cabernet Sauvignon,15.5,0.375,off-dry,low,medium,91,83.33,"Benson, Wilson and Gonzalez",189
73,WINE-00073,red,Georgia,Kakheti,DOC,2012,Riesling,13.2,0.75,dry,medium,high,95,23.62,"Owen, Walker and Smith",546
74,WINE-00074,sparkling,France,Rhone,DOCG,2008,"Grenache, Tempranillo",15.3,0.75,semi-sweet,medium,medium,78,104.52,Mendoza-Gray,372
75,WINE-00075,sparkling,Italy,Sicily,DOC,2023,Sauvignon Blanc,11.7,0.375,dry,medium,high,89,58.54,Fisher Inc,166
76,WINE-00076,red,Italy,Tuscany,AVA,1997,Sauvignon Blanc,13.6,0.75,off-dry,low,medium,87,24.45,Griffin LLC,175
77,WINE-00077,sparkling,France,Burgundy,IGP,1999,Grenache,14.8,0.375,sweet,medium,low,97,111.58,Cooper Ltd,397
78,WINE-00078,white,France,Languedoc,DOC,2021,"Tempranillo, Syrah",13.1,1.5,off-dry,low,medium,94,23.84,Martinez-Medina,367
79,WINE-00079,white,France,Rhone,DOC,2021,Sangiovese,14.4,0.375,semi-sweet,low,medium,97,57.95,Perez Inc,642
80,WINE-00080,rosé,Spain,Priorat,AVA,2007,Sauvignon Blanc,14.0,0.75,sweet,low,low,78,76.55,Jacobs-Buchanan,501
81,WINE-00081,sparkling,USA,Napa,AVA,2007,"Pinot Noir, Riesling",11.5,0.375,semi-sweet,medium,medium,80,97.46,Pham Group,516
82,WINE-00082,red,Georgia,Kakheti,DOC,2019,Chardonnay,14.2,0.375,dry,high,medium,98,114.4,Kirk-Rocha,139
83,WINE-00083,red,France,Burgundy,DOC,2004,Riesling,15.3,0.375,off-dry,low,medium,97,92.2,Perkins-Moore,162
84,WINE-00084,sparkling,Spain,Rias Baixas,DOC,2001,"Sangiovese, Riesling",13.7,1.5,off-dry,medium,medium,79,28.68,Spencer LLC,413
85,WINE-00085,rosé,Italy,Veneto,IGP,1998,Grenache,14.5,0.375,semi-sweet,medium,high,94,72.12,"Giles, Perez and Aguilar",107
86,WINE-00086,rosé,Spain,Priorat,DOCG,2006,"Chardonnay, Pinot Noir",12.5,0.375,sweet,low,low,97,90.77,"Moreno, Lucero and Mills",49
87,WINE-00087,rosé,Spain,Rias Baixas,AVA,2002,"Cabernet Sauvignon, Tempranillo",11.7,1.5,sweet,medium,high,89,108.09,Ortiz-Bautista,135
88,WINE-00088,red,USA,Napa,AOC,2013,Cabernet Sauvignon,12.6,0.375,semi-sweet,high,low,91,72.53,"White, Hampton and Welch",603
89,WINE-00089,rosé,Italy,Piedmont,AVA,1995,"Pinot Noir, Tempranillo",15.2,0.375,off-dry,medium,low,80,78.76,Morales-Mcknight,681
90,WINE-00090,rosé,Spain,Priorat,AOC,2023,Sangiovese,12.6,1.5,sweet,high,high,93,34.33,Brown Inc,0
91,WINE-00091,red,France,Bordeaux,IGP,2000,Syrah,11.3,0.375,dry,high,high,99,113.26,"Reynolds, Stevens and Oliver",145
92,WINE-00092,sparkling,USA,Napa,AVA,2004,Sangiovese,11.3,1.5,dry,high,medium,95,6.72,"Hurst, Green and Lopez",447
93,WINE-00093,sparkling,USA,Napa,DOC,2003,Merlot,12.0,0.375,dry,medium,high,86,87.13,Cherry PLC,272
94,WINE-00094,rosé,Georgia,Kakheti,DOCG,2023,Merlot,13.3,0.375,semi-sweet,low,high,84,113.7,"Thomas, Cox and Pineda",764
95,WINE-00095,sparkling,Spain,Ribera del Duero,DOCG,2024,Sauvignon Blanc,14.8,1.5,sweet,medium,high,78,103.76,Sanders-Shea,447
96,WINE-00096,rosé,Italy,Umbria,DOC,2013,"Tempranillo, Merlot",15.1,0.375,dry,low,low,81,76.9,"Oliver, Shelton and Martinez",165
97,WINE-00097,red,Spain,Ribera del Duero,AOC,2017,Pinot Noir,13.9,0.375,dry,high,low,80,103.64,Kennedy-Price,780
98,WINE-00098,red,Spain,Ribera del Duero,IGP,2001,Syrah,11.9,0.375,dry,high,low,98,78.08,"Gonzales, Aguilar and Donovan",488
99,WINE-00099,red,France,Rhone,DOC,2008,"Chardonnay, Tempranillo",12.2,0.75,semi-sweet,medium,low,89,109.78,"Burns, Bennett and Davis",787
100,WINE-00100,rosé,Georgia,Kakheti,AVA,1995,Sauvignon Blanc,13.0,0.375,semi-sweet,medium,high,79,67.32,Larson and Sons,221
101,WINE-00101,rosé,France,Languedoc,DOC,2001,"Cabernet Sauvignon, Sangiovese",12.3,0.375,dry,medium,medium,81,62.03,"Mercer, Herrera and Henderson",188
102,WINE-00102,rosé,USA,Willamette Valley,AVA,2004,"Tempranillo, Pinot Noir",14.7,1.5,off-dry,medium,low,81,113.01,Adams Inc,785
103,WINE-00103,red,France,Beaujolais,DOCG,2024,"Merlot, Sauvignon Blanc",12.8,1.5,dry,medium,high,78,48.4,"Hughes, Ortiz and Alexander",310
104,WINE-00104,white,Spain,Priorat,IGP,1999,Riesling,13.4,1.5,dry,medium,high,88,65.48,"Sweeney, Thomas and Hill",461
105,WINE-00105,white,Georgia,Kakheti,IGP,1999,"Grenache, Syrah",12.5,1.5,off-dry,high,low,86,40.37,"Jordan, Osborne and Gonzalez",720
106,WINE-00106,white,Georgia,Kakheti,DOC,2006,"Tempranillo, Sangiovese",11.7,0.75,off-dry,medium,high,81,24.76,Harrington-Stewart,673
107,WINE-00107,sparkling,France,Loire,DOC,2018,Grenache,12.3,0.75,off-dry,low,high,81,38.01,"Allen, Abbott and Herrera",397
108,WINE-00108,red,USA,Napa,IGP,2015,"Syrah, Sangiovese",12.3,0.375,off-dry,medium,high,90,6.63,"Valdez, Martin and Thomas",248
109,WINE-00109,sparkling,USA,Willamette Valley,DOC,2015,Pinot Noir,11.6,0.75,semi-sweet,medium,high,81,108.0,Santiago Group,248
110,WINE-00110,white,USA,Willamette Valley,DOCG,1995,"Riesling, Tempranillo",13.8,0.75,off-dry,high,medium,78,50.31,Johnson-Small,501
111,WINE-00111,rosé,France,Bordeaux,AVA,2017,Pinot Noir,14.5,0.375,semi-sweet,low,high,92,67.68,"Ball, Higgins and Adams",734
112,WINE-00112,red,USA,Willamette Valley,DOCG,2001,"Sauvignon Blanc, Riesling",15.5,0.375,sweet,high,low,97,46.52,"Kennedy, Everett and Landry",57
113,WINE-00113,sparkling,Spain,Rias Baixas,IGP,1997,Cabernet Sauvignon,12.9,0.75,semi-sweet,high,medium,81,31.58,"Ayala, Adams and Day",759
114,WINE-00114,white,USA,Willamette Valley,IGP,1999,"Syrah, Pinot Noir",15.2,0.375,off-dry,medium,high,95,88.16,Gonzalez Inc,149
115,WINE-00115,sparkling,Spain,Priorat,DOCG,2006,Riesling,14.5,0.375,semi-sweet,high,medium,99,34.9,Taylor Inc,436
116,WINE-00116,red,Italy,Sicily,DOCG,2005,"Syrah, Grenache",13.2,0.75,dry,high,medium,82,111.87,"Lee, Foster and Maldonado",394
117,WINE-00117,rosé,France,Burgundy,DOC,2016,"Tempranillo, Cabernet Sauvignon",11.1,0.375,semi-sweet,medium,high,81,71.95,"Rivera, Cruz and Patel",239
118,WINE-00118,rosé,Italy,Sicily,DOC,2020,Sauvignon Blanc,13.4,1.5,dry,high,high,98,101.62,Black and Sons,202
119,WINE-00119,white,USA,Willamette Valley,AVA,2016,Riesling,15.0,1.5,dry,medium,medium,85,100.28,Bray-Stokes,484
120,WINE-00120,red,USA,Willamette Valley,IGP,2002,"Pinot Noir, Riesling",13.2,1.5,dry,low,medium,92,85.33,Armstrong PLC,509
121,WINE-00121,rosé,Spain,Priorat,IGP,2015,"Merlot, Pinot Noir",12.6,1.5,dry,low,high,79,83.82,"Cruz, Zhang and Cruz",338
122,WINE-00122,sparkling,France,Jura,IGP,2001,Cabernet Sauvignon,14.2,1.5,off-dry,medium,low,99,47.74,Young LLC,485
123,WINE-00123,rosé,Georgia,Kakheti,IGP,2012,"Sauvignon Blanc, Grenache",11.2,0.75,semi-sweet,medium,medium,90,44.04,"Levine, Lewis and Deleon",278
124,WINE-00124,white,Georgia,Kakheti,IGP,2001,Chardonnay,12.4,0.75,off-dry,high,high,80,95.4,James and Sons,41
125,WINE-00125,sparkling,USA,Willamette Valley,AVA,2004,Sauvignon Blanc,11.5,0.375,off-dry,medium,high,99,12.86,"Kaufman, Mathis and Romero",512
126,WINE-00126,white,Georgia,Kakheti,AVA,1996,Syrah,14.0,0.75,off-dry,low,high,83,105.09,"Garcia, Graham and Manning",431
127,WINE-00127,rosé,France,Bordeaux,DOC,2022,"Sangiovese, Grenache",12.4,0.75,dry,medium,low,91,70.56,Davis-Barber,592
128,WINE-00128,red,France,Beaujolais,AOC,2009,"Tempranillo, Sauvignon Blanc",11.3,1.5,sweet,high,high,99,117.81,Brown-Smith,486
129,WINE-00129,red,USA,Willamette Valley,AOC,2015,"Syrah, Pinot Noir",11.1,0.375,dry,high,high,81,118.48,Chaney PLC,90
130,WINE-00130,white,Italy,Tuscany,IGP,2018,Grenache,13.6,0.75,off-dry,low,medium,82,89.19,"White, Patel and Lopez",86
131,WINE-00131,sparkling,Spain,Priorat,DOCG,1995,Cabernet Sauvignon,11.3,1.5,dry,medium,medium,87,89.16,Mitchell-Knapp,169
132,WINE-00132,red,USA,Willamette Valley,DOCG,2010,"Tempranillo, Riesling",14.0,0.375,dry,medium,high,83,77.79,Mercado LLC,427
133,WINE-00133,sparkling,USA,Sonoma,DOCG,1996,"Grenache, Tempranillo",13.8,1.5,semi-sweet,high,high,78,100.77,Blair-Terry,615
134,WINE-00134,white,Spain,Priorat,IGP,2020,"Sauvignon Blanc, Syrah",13.0,1.5,dry,medium,medium,86,54.17,"Green, Hill and Bradshaw",600
135,WINE-00135,white,France,Champagne,AVA,2022,Grenache,14.6,1.5,sweet,medium,high,80,67.56,Mcmillan Group,496
136,WINE-00136,white,USA,Napa,DOCG,2009,Sauvignon Blanc,14.2,0.75,dry,medium,medium,95,16.0,"Johnson, Irwin and Porter",363
137,WINE-00137,sparkling,France,Loire,AVA,2010,"Sangiovese, Chardonnay",13.3,0.375,off-dry,low,low,80,26.6,Gonzalez and Sons,717
138,WINE-00138,rosé,Spain,Rias Baixas,IGP,1996,Syrah,15.2,0.75,semi-sweet,low,medium,98,58.83,"Howell, Warren and Casey",83
139,WINE-00139,red,Italy,Veneto,DOCG,1998,"Sangiovese, Cabernet Sauvignon",11.2,1.5,sweet,high,high,84,35.82,"Hamilton, Olson and Smith",797
140,WINE-00140,red,Spain,Priorat,IGP,2021,Grenache,11.2,0.375,off-dry,medium,low,78,11.81,Spence Inc,570
141,WINE-00141,sparkling,Spain,Priorat,AOC,2003,"Merlot, Tempranillo",12.4,0.375,dry,high,high,90,26.82,Jennings PLC,163
142,WINE-00142,white,Spain,Ribera del Duero,DOC,2006,Grenache,11.3,1.5,dry,low,medium,94,86.9,Hampton-Thomas,662
143,WINE-00143,red,USA,Napa,DOC,2016,"Cabernet Sauvignon, Syrah",14.4,1.5,sweet,high,low,93,42.93,"Beasley, Anderson and Ramos",263
144,WINE-00144,rosé,USA,Napa,IGP,2002,"Pinot Noir, Riesling",14.6,1.5,dry,medium,high,84,97.07,"Thornton, Martin and Thomas",160
145,WINE-00145,rosé,Italy,Tuscany,DOC,2021,"Merlot, Sauvignon Blanc",11.1,0.375,sweet,medium,medium,85,60.44,"Carroll, Duran and Alvarado",643
146,WINE-00146,rosé,Spain,Ribera del Duero,DOC,2017,Pinot Noir,13.0,0.375,sweet,low,medium,91,52.94,"Hoover, Lee and Ingram",159
147,WINE-00147,rosé,France,Champagne,DOCG,2010,Grenache,11.5,0.75,sweet,low,low,94,12.48,Ward and Sons,684
148,WINE-00148,sparkling,Italy,Umbria,DOCG,2019,Grenache,11.9,0.75,sweet,medium,low,85,17.12,Church-Johnson,296
149,WINE-00149,red,USA,Napa,DOCG,2009,Cabernet Sauvignon,14.6,0.75,off-dry,medium,low,94,38.65,Aguilar PLC,368
150,WINE-00150,sparkling,USA,Napa,DOC,1999,"Tempranillo, Pinot Noir",14.8,1.5,off-dry,high,low,84,74.47,Dean Ltd,89
151,WINE-00151,rosé,Georgia,Kakheti,DOC,2014,Pinot Noir,14.0,1.5,off-dry,high,medium,84,7.14,Sullivan-Cooper,708
152,WINE-00152,red,Georgia,Kakheti,AVA,2021,"Chardonnay, Grenache",13.9,0.75,dry,low,medium,93,21.19,"Lyons, Chapman and Holland",681
153,WINE-00153,white,Spain,Ribera del Duero,AVA,2017,"Cabernet Sauvignon, Pinot Noir",12.7,1.5,dry,medium,high,92,116.44,Davis LLC,73
154,WINE-00154,white,France,Provence,DOCG,2004,"Tempranillo, Cabernet Sauvignon",14.9,1.5,sweet,medium,high,78,66.48,Huff-Bell,550
155,WINE-00155,white,Italy,Tuscany,AOC,2000,Tempranillo,11.8,0.75,semi-sweet,high,low,78,17.0,Young-Fleming,715
156,WINE-00156,red,Italy,Veneto,AVA,2017,"Sangiovese, Syrah",13.0,0.75,dry,high,low,79,37.12,Marsh Ltd,476
157,WINE-00157,rosé,USA,Willamette Valley,AOC,2007,Merlot,15.0,1.5,off-dry,low,low,99,71.3,Martin PLC,764
158,WINE-00158,red,USA,Napa,IGP,1996,"Tempranillo, Sangiovese",12.8,0.375,semi-sweet,medium,medium,85,101.6,Washington-Luna,732
159,WINE-00159,rosé,USA,Willamette Valley,IGP,2011,Chardonnay,11.7,1.5,semi-sweet,low,medium,99,78.13,"Clayton, Banks and Buckley",373
160,WINE-00160,white,France,Jura,AOC,2011,"Sauvignon Blanc, Syrah",14.0,0.375,off-dry,medium,medium,92,78.19,"Russo, King and Davis",41
161,WINE-00161,rosé,France,Languedoc,AVA,2014,"Sangiovese, Cabernet Sauvignon",11.5,0.375,dry,medium,low,79,38.78,Thompson-Gardner,312
162,WINE-00162,red,Spain,Ribera del Duero,AOC,2013,"Merlot, Riesling",13.4,0.375,sweet,low,high,82,106.91,Smith Ltd,416
163,WINE-00163,rosé,Georgia,Kakheti,DOC,2004,Sangiovese,14.8,1.5,off-dry,high,medium,84,68.54,Ray-Johnston,375
164,WINE-00164,rosé,USA,Willamette Valley,AVA,1995,"Riesling, Grenache",12.1,0.375,off-dry,high,high,90,116.54,"Hansen, Rosales and Morgan",405
165,WINE-00165,white,France,Provence,DOC,2010,"Sangiovese, Chardonnay",12.2,0.375,semi-sweet,low,low,83,68.83,Brewer-Baxter,620
166,WINE-00166,red,Spain,Priorat,AVA,2018,"Riesling, Chardonnay",14.4,1.5,off-dry,high,high,82,53.51,Anderson LLC,684
167,WINE-00167,white,Spain,Ribera del Duero,AVA,2018,"Sangiovese, Merlot",14.9,0.75,semi-sweet,high,high,98,110.28,"Stout, Ross and Crawford",130
168,WINE-00168,red,USA,Napa,IGP,2007,Riesling,15.3,1.5,off-dry,medium,medium,97,75.24,Harris Ltd,388
169,WINE-00169,sparkling,USA,Willamette Valley,DOCG,2007,"Grenache, Chardonnay",13.4,1.5,sweet,high,medium,78,95.73,Rivera Group,511
170,WINE-00170,rosé,USA,Sonoma,DOC,2013,"Pinot Noir, Sauvignon Blanc",12.7,0.375,dry,medium,medium,97,101.55,Knapp-Collins,333
171,WINE-00171,red,Italy,Sicily,AOC,2013,Grenache,15.0,0.75,semi-sweet,high,high,91,64.99,"Freeman, Harris and Ayala",529
172,WINE-00172,sparkling,USA,Sonoma,DOCG,2016,Tempranillo,12.6,0.375,dry,high,low,81,52.69,"Owen, Pope and Wright",512
173,WINE-00173,white,USA,Willamette Valley,DOC,2009,"Riesling, Sauvignon Blanc",14.5,1.5,semi-sweet,high,high,80,25.46,Stein LLC,325
174,WINE-00174,rosé,Spain,Rioja,AVA,2015,Merlot,15.0,1.5,semi-sweet,high,medium,98,23.83,Diaz-Taylor,296
175,WINE-00175,white,Georgia,Kakheti,IGP,2015,Cabernet Sauvignon,13.5,0.375,semi-sweet,high,high,98,88.41,Conner PLC,708
176,WINE-00176,red,USA,Napa,DOCG,2007,Grenache,14.8,1.5,dry,high,low,84,25.97,Larson-Noble,787
177,WINE-00177,white,Georgia,Kakheti,AVA,2014,Sauvignon Blanc,11.5,0.375,dry,low,low,80,25.44,Garcia PLC,535
178,WINE-00178,sparkling,USA,Sonoma,AOC,2005,Tempranillo,11.6,0.375,semi-sweet,medium,low,79,36.39,Mcdowell PLC,101
179,WINE-00179,rosé,Georgia,Kakheti,DOC,1995,"Tempranillo, Sauvignon Blanc",11.2,0.75,dry,medium,low,97,33.17,West PLC,228
180,WINE-00180,white,France,Rhone,DOCG,2004,Riesling,12.9,0.75,sweet,low,low,99,50.44,Campbell Inc,735
181,WINE-00181,sparkling,Georgia,Kakheti,DOCG,2020,"Riesling, Cabernet Sauvignon",14.9,0.375,off-dry,low,medium,90,27.27,Walters-Burton,297
